tract,pop
3042800,3857
3042900,5630
3043000,3333
3043100,5113
3043200,4250
3043300,4064
3043400,3433
3043500,4463
3043600,4160
3043700,5240
3043800,2481
3043900,3829
3044000,2880
3044100,5643
3044200,2658
3044300,5557
3044400,3336
3044500,4446
3044600,1909
3044700,2310
3044800,1915
3044900,2932
3045000,673
3045200,2701
3045300,2017
3045400,1852
3045600,2357
3045800,1490
3046000,3729
3046201,2632
3046202,1803
3046400,2838
3046800,2054
3047000,2886
3047200,3141
3047400,2969
3047600,3646
3047700,3318
3047800,4848
3048000,3769
3048100,2778
3048200,5331
3048400,5481
3048500,2510
3048600,3568
3048800,4395
3048900,4039
3049000,5899
3049100,6418
3049200,3495
3049300,7625
3049400,5308
3049500,2603
3049600,4513
3049700,2645
3049800,4232
3049900,1753
3050000,3474
3050100,2786
3050202,2201
3050300,2582
3050400,4527
3050500,4163
3050600,6016
3050700,2288
3050801,4080
3050803,2464
3050804,6250
3050900,3694
3051001,3926
3051002,4725
3051100,3933
3051200,6398
3051300,4332
3051400,7366
3051500,1372
3051601,5732
3051602,4028
3051700,1735
3051800,3415
3051900,3564
3052000,4228
3052300,5469
3052500,3499
3052600,4357
3052700,6629
3052800,1818
3052900,3979
3053000,3465
3053100,7027
3053200,2579
3053300,6566
3053400,4383
3053500,4348
3053700,3575
3053800,4473
3053900,2756
3054200,4450
3054300,327
3054400,3406
3054500,8008
3054600,4346
3054700,5245
3054800,1989
3054900,3122
3055000,3551
3055100,4597
3055200,3498
3055300,2596
3055400,4216
3055500,1959
3055600,3712
3055700,1655
3055800,2390
3056000,3493
3056100,3295
3056200,1654
3056300,4360
3056400,2451
3056500,3255
3056600,2419
3056800,1314
3056900,1630
3057000,3384
3057100,4400
3057200,5443
3057300,2608
3057400,2657
3057500,4249
3057600,2918
3057800,3176
3057900,1117
3058000,3365
3058200,2967
3058400,3620
3058600,2519
3058800,3245
3058900,1904
3059000,1899
3059100,3920
3059200,3870
3059300,2228
3059401,7628
3059402,4551
3059600,2306
3059800,3427
3060000,6067
3060600,2555
3060800,3574
3061002,4508
3061003,1984
3061004,6447
3061200,1076
3061600,1656
3062000,1850
3062200,3252
3062600,2788
3062800,5226
3063200,1447
3063600,1236
3063800,1524
3064000,1599
3064200,2518
3064400,2528
3064600,2189
3064800,1945
3065000,1389
3065200,1232
3065400,1607
3065600,1708
3065800,1762
3066000,1773
3066200,1411
3066600,0
3067000,2680
3067200,1422
3067400,1964
3067600,1657
3067800,2660
3068000,1809
3068200,2432
3068600,1533
3068800,1614
3069000,1791
3069200,2392
3069601,3780
3069602,5995
3069800,1277
3070000,1703
3070201,6573
3070202,37
3070203,0
3070600,2700
3072000,2167
3072200,2655
3072400,1755
3072600,2093
3072800,3193
3073000,1979
3073200,2096
3073400,1889
3073600,3368
3073800,3225
3074000,3531
3074200,3292
3074400,2492
3074600,2003
3074800,2012
3075000,3029
3075200,1130
3075400,1488
3075600,1993
3075800,1816
3076000,2776
3076200,4235
3076400,3487
3076600,2061
3076800,3407
3077000,2722
3077200,3394
3077400,2881
3077600,3806
3078000,2092
3078200,3864
3078400,2348
3078600,4256
3078800,3422
3079000,5094
3079200,4372
3079400,1864
3079601,4413
3079602,4814
3079801,3037
3079802,5451
3080000,3487
3080200,4304
3080400,3250
3080600,3386
3080800,1197
3081000,2300
3081400,2635
3081600,2791
3081800,4551
3082000,5281
3082200,7280
3082400,4730
3082600,5513
3082800,3814
3083000,5997
3083200,2289
3083400,1701
3083600,1929
3083800,2189
3084000,2412
3084600,1963
3084800,1750
3085000,1374
3085200,29
3085400,2052
3085600,3608
3085800,2434
3086000,3426
3086200,2996
3086400,2231
3086600,3149
3086800,3156
3087000,3204
3087200,2868
3087401,3142
3087600,1742
3087800,3006
3088000,2863
